COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,IDENTIF_FORNECEDOR,count,soma_por_fornecedor
1100023,ARIQUEMES,RO,06067041000181,2,1028280.0
1100023,ARIQUEMES,RO,07283888000166,2,330954.06
1100023,ARIQUEMES,RO,07763606000128,1,1258.75
1100023,ARIQUEMES,RO,08307727000128,1,1217.37
1100023,ARIQUEMES,RO,08440584000128,2,310200.0
1100023,ARIQUEMES,RO,08440584000390,1,153e3
1100023,ARIQUEMES,RO,08593528000123,2,22537.8
1100023,ARIQUEMES,RO,08596997000104,20,2653579.24
1100023,ARIQUEMES,RO,08685277000107,1,2380.8
1100023,ARIQUEMES,RO,09497648000190,1,9900.0
1100023,ARIQUEMES,RO,10430420000161,2,107500.0
1100023,ARIQUEMES,RO,10575366000142,6,712244.34
1100023,ARIQUEMES,RO,10596399000179,1,598.99
1100023,ARIQUEMES,RO,10726497000183,3,102790.0
1100023,ARIQUEMES,RO,11464383000175,1,7329.99
1100023,ARIQUEMES,RO,12103781000129,1,194e3
1100023,ARIQUEMES,RO,12288727000103,1,3756.0
1100023,ARIQUEMES,RO,12349852000178,1,900.0
1100023,ARIQUEMES,RO,13344554000158,1,14470.0
1100023,ARIQUEMES,RO,13590994000195,6,526574.59
1100023,ARIQUEMES,RO,14224773000166,1,1871.8
1100023,ARIQUEMES,RO,14577828000111,1,6187.22
1100023,ARIQUEMES,RO,14594006000149,1,101410.0
1100023,ARIQUEMES,RO,15849938000158,1,1460.0
1100023,ARIQUEMES,RO,18394492000102,2,8639.6
1100023,ARIQUEMES,RO,20414505000100,1,73170.32
1100023,ARIQUEMES,RO,22845481000179,1,1134.0
1100023,ARIQUEMES,RO,22865364000177,1,1823.04
1100023,ARIQUEMES,RO,22881858000145,1,85980.0
1100023,ARIQUEMES,RO,34770156000173,1,15811.0
1100023,ARIQUEMES,RO,82424573000107,1,109900.0
1100023,ARIQUEMES,RO,84593342000152,3,260709.19999999998
1100023,ARIQUEMES,RO,84638907000170,2,1113.0
1100023,ARIQUEMES,RO,84652296000115,1,170750.0
1100023,ARIQUEMES,RO,88658984000496,1,82600.0
1100023,ARIQUEMES,RO,89460331000118,1,77890.0
1100023,ARIQUEMES,RO,92823764000103,4,25486.99
1100023,ARIQUEMES,RO,95863684000161,1,76189.0
1100031,CABIXI,RO,03482383000170,4,424488.10000000003
1100031,CABIXI,RO,04702450000187,2,229300.0
1100031,CABIXI,RO,05043720000158,3,120690.0
1100031,CABIXI,RO,05054404000424,1,36750.0
1100031,CABIXI,RO,05662126000730,1,471500.0
1100031,CABIXI,RO,06067041000181,2,611500.0
1100031,CABIXI,RO,07103838000150,1,153733.84
1100031,CABIXI,RO,09254159000107,26,1686766.02
1100031,CABIXI,RO,09428334000135,5,286314.43
1100031,CABIXI,RO,12753213000173,1,107500.0
1100031,CABIXI,RO,13465318000190,1,20880.69
1100031,CABIXI,RO,13741623000167,4,162895.06
1100031,CABIXI,RO,14594006000300,1,415900.0
1100031,CABIXI,RO,19614838000101,5,278400.0
1100031,CABIXI,RO,84652296000115,2,497850.0
1100031,CABIXI,RO,84706423000111,3,2e5
1100031,CABIXI,RO,88658984000496,1,85999.0
1100049,CACOAL,RO,00398022000232,1,6778.0
1100049,CACOAL,RO,00868882000101,2,5200.0
1100049,CACOAL,RO,01597923000135,4,832360.7799999999
1100049,CACOAL,RO,01717734000159,13,2592043.59
1100049,CACOAL,RO,01824931000177,5,1035e3
1100049,CACOAL,RO,01886840000166,3,9415.0
1100049,CACOAL,RO,01992449000146,16,97600.0
1100049,CACOAL,RO,02377798000200,1,193e3
1100049,CACOAL,RO,02974456001230,2,12e3
1100049,CACOAL,RO,02990234000159,3,829489.0
1100049,CACOAL,RO,03018417000170,11,2021245.44
1100049,CACOAL,RO,03412797000122,10,446173.49
1100049,CACOAL,RO,03843541000170,1,1745.0
1100049,CACOAL,RO,04175615000100,1,26026.0
1100049,CACOAL,RO,04570591000193,1,7500.0
1100049,CACOAL,RO,04590168000155,4,3500.0
1100049,CACOAL,RO,04790881000142,6,96382.98
1100049,CACOAL,RO,04910717000121,2,434500.0
1100049,CACOAL,RO,04937272000173,2,6065.0
1100049,CACOAL,RO,05043720000158,5,104076.0
1100049,CACOAL,RO,05163253000108,3,21e4
1100049,CACOAL,RO,05255167000117,5,29708.9
1100049,CACOAL,RO,05559588000131,3,34639.0
1100049,CACOAL,RO,05662126000730,2,645900.0
1100049,CACOAL,RO,05671889000152,3,1009400.0
1100049,CACOAL,RO,05836297000143,3,9602.0
1100049,CACOAL,RO,05859556000151,1,88595.48
1100049,CACOAL,RO,05869012000170,1,3800.0
1100049,CACOAL,RO,05912908000195,4,460196.56
1100049,CACOAL,RO,05976162000183,1,480.0
1100049,CACOAL,RO,05993423000173,11,2467995.61
1100049,CACOAL,RO,06087679000184,1,510.0
1100049,CACOAL,RO,06137445000102,1,56800.0
1100049,CACOAL,RO,06347300000128,2,1082.0
1100049,CACOAL,RO,07103838000150,4,1360551.76
1100049,CACOAL,RO,07128204000151,1,78261.57
1100049,CACOAL,RO,07473831000120,1,5760.0
1100049,CACOAL,RO,07577306000154,2,314693.2
1100049,CACOAL,RO,07595449000199,6,233700.0
1100049,CACOAL,RO,07965552000183,1,2300.0
1100049,CACOAL,RO,08206867000100,2,487e3
1100049,CACOAL,RO,08328838000110,1,17500.0
1100049,CACOAL,RO,08394735000159,1,13215.0
1100049,CACOAL,RO,08695349000105,18,965166.73
1100049,CACOAL,RO,08748536000100,3,6685.0
1100049,CACOAL,RO,08833982000104,3,17342.0
1100049,CACOAL,RO,08979527000200,3,18890.0
1100049,CACOAL,RO,09117368000109,3,48400.0
1100049,CACOAL,RO,09433107000106,1,8780.0
1100049,CACOAL,RO,09497648000190,5,219650.0
1100049,CACOAL,RO,10284501000109,1,154455.0
1100049,CACOAL,RO,10375671000190,2,373937.63
