cidade,UF,gini_valor_convenio,gini_valor_fornecedor,coef
ACRELANDIA,AC,0.27428997046418013,0.37796291746131594,1.3779684208711327
ASSIS BRASIL,AC,0.2633466832098137,0.46081941571290286,1.7498584379198678
BRASILEIA,AC,0.2871065545120288,0.578098533084396,2.0135330385157597
BUJARI,AC,0.2156053081031355,0.31437866067993037,1.4581211540930445
CRUZEIRO DO SUL,AC,0.31433726267268014,0.6961494765290333,2.214657818834335
EPITACIOLANDIA,AC,0.2614133442571962,0.46125849528922025,1.764479531830643
JORDAO,AC,0.2547528281755653,0.4849056585316289,1.9034358205336648
MANCIO LIMA,AC,0.298355396832366,0.6183704304239575,2.07259676543205
MANOEL URBANO,AC,0.24976441535340288,0.5711526837949525,2.286765642682938
MARECHAL THAUMATURGO,AC,0.24520236175892052,0.5287543649539055,2.1563999676062227
PLACIDO DE CASTRO,AC,0.2323403056205411,0.3935578956625254,1.6938855899814704
PORTO ACRE,AC,0.2976928436130879,0.35806947908846576,1.2028152062461048
PORTO WALTER,AC,0.2210398130949276,0.3767324562189045,1.704364706719659
RIO BRANCO,AC,0.3745271394157754,0.8210293435718654,2.1921758323110803
RODRIGUES ALVES,AC,0.2372574957015452,0.5979504325072456,2.520259394710248
SANTA ROSA DO PURUS,AC,0.19715633689703704,0.46649659425984513,2.3661252871799316
SENA MADUREIRA,AC,0.21769970470346767,0.5679910364310201,2.609057450053458
SENADOR GUIOMARD,AC,0.3306841672521088,0.5545512615382324,1.6769815928787741
TARAUACA,AC,0.25116746264119083,0.5501795613947373,2.1904889893349955
XAPURI,AC,0.247779261659419,0.541348705880444,2.1848023206419356
AGUA BRANCA,AL,0.22487861440979406,0.5392982789812213,2.398175034992271
ARAPIRACA,AL,0.43905579275260287,0.8879281450845511,2.0223583420179967
BARRA DE SANTO ANTONIO,AL,0.23932216282033725,0.7614462175364134,3.181678656765452
BARRA DE SAO MIGUEL,AL,0.36814773604964923,0.5797026395754804,1.5746467594664235
CACIMBINHAS,AL,0.07523617446483621,0.38249918627746604,5.083979734459226
CAMPO ALEGRE,AL,0.31103315043350976,0.7290043525794401,2.3438156079613157
CANAPI,AL,0.2524804930240596,0.3908581650468188,1.5480727257989502
CARNEIROS,AL,0.1571527293249919,0.1929871650865036,1.2280229933990268
CHA PRETA,AL,0.46335403757137894,0.50249161896958,1.0844658257502977
COITE DO NOIA,AL,0.33357012530714547,0.4202846108701709,1.2599587882253551
COQUEIRO SECO,AL,0.3138116645880977,0.2553639820159138,0.8137491713416675
CORURIPE,AL,0.4584449681774645,0.6639622474001201,1.4482921473425348
DELMIRO GOUVEIA,AL,0.4996594099737717,0.8231914012460133,1.647505050068455
FELIZ DESERTO,AL,0.3852475968575957,0.48759213761119646,1.2656591282811605
IGACI,AL,0.1997357167569782,0.4389324400369743,2.1975660996627395
JEQUIA DA PRAIA,AL,0.43159175416425954,0.7926566505832304,1.8365889592078564
LIMOEIRO DE ANADIA,AL,0.3761329924992054,0.2896504547175043,0.7700745759975208
MACEIO,AL,0.43667605053918157,0.9039813108138173,2.0701417210713413
MARECHAL DEODORO,AL,0.2388485652261383,0.623923727990648,2.612214678367133
MESSIAS,AL,0.20854517020961216,0.3605582965634535,1.7289218263892205
MURICI,AL,0.37916078218798877,0.6647184311069472,1.7531307622880108
OLHO D'AGUA DAS FLORES,AL,0.21086434687887157,0.6109954745598127,2.8975760179637744
OLHO D'AGUA GRANDE,AL,0.1811164113864634,0.5055117366167701,2.791087415806384
OURO BRANCO,AL,0.1829125450106286,0.58051617501539,3.1737362518336707
PALMEIRA DOS INDIOS,AL,0.3607017264537924,0.7852023187145927,2.176874301196839
PAO DE ACUCAR,AL,0.29775443818123537,0.4077827923464037,1.369527167545348
PARICONHA,AL,0.279612907957727,0.5133722824817375,1.8360106700058039
PARIPUEIRA,AL,0.3972694416031681,0.44795999148660304,1.1275974051235222
PAULO JACINTO,AL,0.1330293295738667,0.6554095985738937,4.9268052441771255
PENEDO,AL,0.32668015448000753,0.4087542172331604,1.251236757506112
PIACABUCU,AL,0.191683328770879,0.2984278819368067,1.5568796924093513
PIRANHAS,AL,0.31947518132493014,0.3707814804982372,1.1605955710253584
POCO DAS TRINCHEIRAS,AL,0.2722702666934764,0.5719089248433931,2.1005192075829995
QUEBRANGULO,AL,0.2887976651837838,0.5428819484252811,1.879800337304681
ROTEIRO,AL,0.45493739355121976,0.4814517942982099,1.058281427560878
SANTANA DO IPANEMA,AL,0.237036061378042,0.3236358662025842,1.3653444303836397
SAO BRAS,AL,0.11789954901780919,0.2721194829443858,2.3080621190780053
SENADOR RUI PALMEIRA,AL,0.24375141914822374,0.39355403490011653,1.6145712557299974
TANQUE D'ARCA,AL,0.36156710515181034,0.6513513329628084,1.8014673450156011
TAQUARANA,AL,0.3171354493242231,0.7181566224415428,2.264510712920447
VICOSA,AL,0.25714737998592363,0.3227285382895104,1.2550333521079498
APUI,AM,0.2898931091279082,0.6268090617582558,2.1622075241591605
AUTAZES,AM,0.3613572806588601,0.5514579447274202,1.5260739834048755
BARREIRINHA,AM,0.3074664223063124,0.5375639925283866,1.7483664996525712
BORBA,AM,0.27908322743306435,0.6349273580011969,2.275046636951619
CAREIRO,AM,0.33107734358395957,0.8163799377769179,2.4658284645499697
HUMAITA,AM,0.4807568626364277,0.5391404714563348,1.1214410305028963
ITAMARATI,AM,0.4632990309516609,0.5070169234932782,1.0943621497584757
JURUA,AM,0.4193170305850509,0.5275114470104636,1.258025332943083
